collection,journal,pmcid,no_pmid,%
Elsevier,Benumof and Hagberg's Airway Management,1,1,100
Elsevier,Berman's Pediatric Decision Making,1,1,100
Elsevier,Bioactive Food as Dietary Interventions for Liver and Gastrointestinal Disease,1,1,100
Elsevier,Bioactive Materials in Medicine,1,1,100
Elsevier,Biochemical and Molecular Basis of Pediatric Disease,1,1,100
Elsevier,Biochim Biophys Acta Biomembr,37,1,2.7
Elsevier,Biofabrication,1,1,100
Elsevier,Biogeochemistry,1,1,100
Elsevier,Biologicals,30,1,3.3
Elsevier,Biologics in Orthopaedic Surgery,1,1,100
Elsevier,Biomaterials Nanoarchitectonics,1,1,100
Elsevier,Biopolymers for Food Design,1,1,100
Elsevier,Biotechnology for Beginners,1,1,100
Elsevier,Blockchain for Smart Cities,1,1,100
Elsevier,Board Review in Preventive Medicine and Public Health,1,1,100
Elsevier,Bone Rep,1,1,100
Elsevier,Bottled and Packaged Water,1,1,100
Elsevier,Brachytherapy,9,1,11.1
Elsevier,Braddom's Physical Medicine and Rehabilitation,1,1,100
Elsevier,Breathborne Biomarkers and the Human Volatilome,1,1,100
Elsevier,Brenner's Encyclopedia of Genetics,1,1,100
Elsevier,Building a Travel Risk Management Program,1,1,100
Elsevier,Bull Cancer,39,1,2.6
Elsevier,Bus Horiz,13,1,7.7
Elsevier,Can J Ophthalmol,33,1,3
Elsevier,Canine Internal Medicine Secrets,1,1,100
Elsevier,Carbohydr Polym,20,1,5
Elsevier,"Carbohydrate Chemistry, Biology and Medical Applications",1,1,100
Elsevier,Carbohydrates in Drug Discovery and Development,1,1,100
Elsevier,Carbon N Y,3,1,33.3
Elsevier,Card Electrophysiol Clin,2,1,50
Elsevier,Cardiac Intensive Care,1,1,100
Elsevier,"Case Studies on Food Experiences in Marketing, Retail, and Events",1,1,100
Elsevier,Catal Commun,2,1,50
Elsevier,Cell Biology,1,1,100
Elsevier,Cell Separation,1,1,100
Elsevier,Cell Stem Cell,30,1,3.3
Elsevier,Cell Surface and Extracellular Glycoconjugates,1,1,100
Elsevier,Cellular Immunology,1,1,100
Elsevier,Challenges in Delivery of Therapeutic Genomics and Proteomics,1,1,100
Elsevier,Chem,4,1,25
Elsevier,Chem Biol,14,1,7.1
Elsevier,Chemical Modulators of Protein Misfolding and Neurodegenerative Disease,1,1,100
Elsevier,China's Publishing Industry,1,1,100
Elsevier,China–Asian Relations and International Law,1,1,100
Elsevier,"Chronic Kidney Disease, Dialysis, & Transplantation",1,1,100
Elsevier,Climate Vulnerability,1,1,100
Elsevier,Clin Geriatr Med,4,1,25
Elsevier,Clin Neurophysiol,35,1,2.9
Elsevier,Clinical Asthma,1,1,100
Elsevier,Clinical Cases in Anesthesia,1,1,100
Elsevier,Clinical Cases in Tropical Medicine,1,1,100
Elsevier,Clinical Engineering Handbook,1,1,100
Elsevier,Clinical Informatics Literacy,1,1,100
Elsevier,Clinical Men's Health,1,1,100
Elsevier,Clinical Principles of Transfusion Medicine,1,1,100
Elsevier,Clinician's Guide to Treating Companion Animal Issues,1,1,100
Elsevier,Cohen's Pathways of the Pulp,1,1,100
Elsevier,Colloidal Gold,1,1,100
Elsevier,Color Atlas of Diseases and Disorders of the Foal,1,1,100
Elsevier,Color Atlas of Veterinary Pathology,1,1,100
Elsevier,Complement Ther Clin Pract,17,1,5.9
Elsevier,Complementary and Alternative Medicine,1,1,100
Elsevier,Complementary and Alternative Therapies and the Aging Population,1,1,100
Elsevier,Comprehensive Foodomics,1,1,100
Elsevier,Comprehensive Heterocyclic Chemistry III,1,1,100
Elsevier,Comprehensive Inorganic Chemistry II,1,1,100
Elsevier,Comprehensive Medicinal Chemistry III,1,1,100
Elsevier,Comprehensive Natural Products Chemistry,1,1,100
Elsevier,Comprehensive Natural Products III,1,1,100
Elsevier,Comprehensive Organic Synthesis II,1,1,100
Elsevier,Comprehensive Pediatric Hospital Medicine,1,1,100
Elsevier,Comprendre le comportement des NAC,1,1,100
Elsevier,Comput Med Imaging Graph,5,1,20
Elsevier,Comput Methods Programs Biomed,45,1,2.2
Elsevier,Computational Phytochemistry,1,1,100
Elsevier,Computer-Aided Vaccine Design,1,1,100
Elsevier,Cont Lens Anterior Eye,18,1,5.6
Elsevier,Contamination in Tissue Culture,1,1,100
Elsevier,Contemporary Practice in Clinical Chemistry,1,1,100
Elsevier,Contemporary Tourism,1,1,100
Elsevier,Control Applications for Biomedical Engineering Systems,1,1,100
Elsevier,Core Concepts in Clinical Infectious Diseases (CCCID),1,1,100
Elsevier,"Cranial Osteopathy for Infants, Children and Adolescents",1,1,100
Elsevier,Crew Resource Management,1,1,100
Elsevier,Critical Care,1,1,100
Elsevier,Curr Opin Genet Dev,13,1,7.7
Elsevier,Curr Pharm Teach Learn,8,1,12.5
Elsevier,Curr Probl Cancer,4,1,25
Elsevier,Curr Top Dev Biol,3,1,33.3
Elsevier,Current Therapy in Large Animal Theriogenology,1,1,100
Elsevier,Current Therapy in Reptile Medicine and Surgery,1,1,100
Elsevier,Cytokines,1,1,100
Elsevier,Cytology and Cell Physiology,1,1,100
Elsevier,Dairy-Derived Ingredients,1,1,100
Elsevier,Das NAW-Buch,1,1,100
Elsevier,Data-Centric Safety,1,1,100
Elsevier,Decision Making in Medicine,1,1,100
Elsevier,Delivery of Therapeutics for Biogerontological Interventions,1,1,100
Elsevier,Dermatología neonatal,1,1,100
Elsevier,Destination Marketing Organisations,1,1,100
Elsevier,Dev Comp Immunol,38,1,2.6
Elsevier,Developments in Surface Contamination and Cleaning,1,1,100
Elsevier,Developments in Surface Contamination and Cleaning: Applications of Cleaning Techniques,1,1,100
Elsevier,Diagnostic Cytology and Hematology of the Horse,1,1,100
Elsevier,Diagnostic Imaging for the Emergency Physician,1,1,100
Elsevier,Diagnostic Imaging: Brain,1,1,100
Elsevier,Diagnostic Imaging: Pediatrics,1,1,100
Elsevier,Diagnostic Pathology: Cytopathology,1,1,100
Elsevier,Diagnostic Pathology: Endocrine,1,1,100
Elsevier,Diagnostic Pathology: Intraoperative Consultation,1,1,100
Elsevier,Diagnostic Pathology: Thoracic,1,1,100
Elsevier,Dictionary of Optometry and Vision Science,1,1,100
Elsevier,Digital Health,1,1,100
Elsevier,Disabil Health J,37,1,2.7
Elsevier,Disaster Communications in a Changing Media World,1,1,100
Elsevier,Disaster Epidemiology,1,1,100
Elsevier,Disaster Manag Response,15,1,6.7
Elsevier,Disaster Planning for Libraries,1,1,100
Elsevier,Discovery of Novel Natural Products with Therapeutic Potential,1,1,100
Elsevier,Disease Pathways,1,1,100
Elsevier,Drug Delivery Systems,1,1,100
Elsevier,Drug Discov Today Dis Mech,5,1,20
Elsevier,Drug Discovery Targeting Drug-Resistant Bacteria,1,1,100
Elsevier,Drug Repurposing in Cancer Therapy,1,1,100
Elsevier,Drugs During Pregnancy and Lactation,1,1,100
Elsevier,Dysimmune Neuropathies,1,1,100
Elsevier,Eco-efficient Materials for Reducing Cooling Needs in Buildings and Construction,1,1,100
Elsevier,Ecology and Evolution of Cancer,1,1,100
Elsevier,Ecology and Management of Inland Waters,1,1,100
Elsevier,Economic Effects of Natural Disasters,1,1,100
Elsevier,"Electrochemical Sensors, Biosensors and their Biomedical Applications",1,1,100
Elsevier,Electrofluidodynamic Technologies (EFDTs) for Biomaterials and Medical Devices,1,1,100
Elsevier,Electron Notes Theor Comput Sci,1,1,100
Elsevier,"Electronic Devices, Circuits, and Systems for Biomedical Applications",1,1,100
Elsevier,Elephants Under Human Care,1,1,100
Elsevier,Elsevier's Integrated Pathology,1,1,100
Elsevier,Emerg Med Clin North Am,24,1,4.2
Elsevier,Emergency Medicine Secrets,1,1,100
Elsevier,Emerging Foodborne Pathogens,1,1,100
Elsevier,"Emerging Trends in Computational Biology, Bioinformatics, and Systems Biology",1,1,100
Elsevier,Emot Space Soc,3,1,33.3
Elsevier,Encephale,52,1,1.9
Elsevier,Encyclopedia of Analytical Science,1,1,100
Elsevier,Encyclopedia of Applied Ethics,1,1,100
Elsevier,Encyclopedia of Bioinformatics and Computational Biology,1,1,100
Elsevier,Encyclopedia of Biological Chemistry III,1,1,100
Elsevier,Encyclopedia of Biomedical Engineering,1,1,100
Elsevier,Encyclopedia of Biomedical Gerontology,1,1,100
Elsevier,Encyclopedia of Cardiovascular Research and Medicine,1,1,100
Elsevier,Encyclopedia of Food Chemistry,1,1,100
Elsevier,Encyclopedia of Food Microbiology,1,1,100
Elsevier,Encyclopedia of Food Sciences and Nutrition,1,1,100
Elsevier,Encyclopedia of Food Security and Sustainability,1,1,100
Elsevier,Encyclopedia of Geology,1,1,100
Elsevier,Encyclopedia of Human Nutrition,1,1,100
Elsevier,Encyclopedia of Infant and Early Childhood Development,1,1,100
Elsevier,Encyclopedia of Meat Sciences,1,1,100
Elsevier,Encyclopedia of the Human Brain,1,1,100
Elsevier,"Encyclopedia of Violence, Peace, & Conflict",1,1,100
Elsevier,Endeavour,2,1,50
Elsevier,Energy from Toxic Organic Waste for Heat and Power Generation,1,1,100
Elsevier,Enferm Intensiva (Engl Ed),2,1,50
Elsevier,Environ Int,55,1,1.8
Elsevier,Environmental Consciousness in China,1,1,100
Elsevier,Enzymes in Food Biotechnology,1,1,100
Elsevier,Epidemiología y bioestadística. Secretos,1,1,100
Elsevier,Equine Neonatal Medicine,1,1,100
Elsevier,Essential Clinical Procedures,1,1,100
Elsevier,Essential Family Medicine,1,1,100
Elsevier,Essentials of Genomic and Personalized Medicine,1,1,100
Elsevier,Essentials of Neuroanesthesia,1,1,100
Elsevier,Essentials of Physical Medicine and Rehabilitation,1,1,100
Elsevier,Ethical Considerations When Preparing a Clinical Research Protocol,1,1,100
Elsevier,Ethnozoology,1,1,100
Elsevier,Eur J Integr Med,25,1,4
Elsevier,Eur J Intern Med,145,1,0.7
Elsevier,Eur J Pharm Sci,18,1,5.6
Elsevier,Eur Psychiatry,3,1,33.3
Elsevier,Eur Urol Focus,19,1,5.3
Elsevier,Eur Urol Oncol,3,1,33.3
Elsevier,Eventful Cities,1,1,100
Elsevier,Exosomes,1,1,100
Elsevier,Exotic Pet Behavior,1,1,100
Elsevier,Facharzt Orthopädie Unfallchirurgie,1,1,100
Elsevier,Facharztwissen Geburtsmedizin,1,1,100
Elsevier,FAQ Dysphagie,1,1,100
Elsevier,Feed Additives,1,1,100
Elsevier,FEMS Immunol Med Microbiol,5,1,20
Elsevier,FEMS Microbiol Ecol,1,1,100
Elsevier,Fetal and Neonatal Secrets,1,1,100
Elsevier,Field Guide to Wilderness Medicine,1,1,100
Elsevier,Filters and Filtration Handbook,1,1,100
Elsevier,Financ Res Lett,78,1,1.3
Elsevier,Food and Feed Safety Systems and Analysis,1,1,100
Elsevier,Food Consumption and Disease Risk,1,1,100
Elsevier,Food Control and Biosecurity,1,1,100
Elsevier,Food Safety and Preservation,1,1,100
Elsevier,Food Safety in the 21st Century,1,1,100
Elsevier,Foodborne Diseases,1,1,100
Elsevier,Foodborne Pathogens,1,1,100
Elsevier,Foundations of Artificial Intelligence in Healthcare and Bioscience,1,1,100
Elsevier,Foundations of Comparative Genomics,1,1,100
Elsevier,Fractal Analysis of the Binding and Dissociation Kinetics for Different Analytes on Biosensor Surfaces,1,1,100
Elsevier,Fractional Operators with Constant and Variable Order with Application to Geo-Hydrology,1,1,100
Elsevier,From Academia to Entrepreneur,1,1,100
Elsevier,Frontiers in Viral Hepatitis,1,1,100
Elsevier,"Fullerens, Graphenes and Nanotubes",1,1,100
Elsevier,Functional Nanofibers and their Applications,1,1,100
Elsevier,Functional Polysaccharides for Biomedical Applications,1,1,100
Elsevier,Fundamentals of Toxicologic Pathology,1,1,100
Elsevier,Fundamentos de las enfermedades del tórax,1,1,100
Elsevier,Genome Stability,1,1,100
Elsevier,Global Airlines,1,1,100
Elsevier,Global Safety of Fresh Produce,1,1,100
Elsevier,Gov Inf Q,11,1,9.1
Elsevier,Guide D'orl,1,1,100
Elsevier,Guide de thérapeutique,1,1,100
Elsevier,Guide pratique de l'infirmière,1,1,100
Elsevier,Guide Pratique De L'infirmière,1,1,100
Elsevier,Gut Microbiota in Neurologic and Visceral Diseases,1,1,100
Elsevier,Gynecol Obstet Fertil Senol,16,1,6.2
Elsevier,Haddad and Winchester's Clinical Management of Poisoning and Drug Overdose,1,1,100
Elsevier,Handbook of Animal Models of Infection,1,1,100
Elsevier,Handbook of Animal Science,1,1,100
Elsevier,Handbook of Antimicrobial Coatings,1,1,100
Elsevier,Handbook of Biological Control,1,1,100
Elsevier,Handbook of Biosensors and Biosensor Kinetics,1,1,100
Elsevier,Handbook of Developmental Neurotoxicology,1,1,100
Elsevier,Handbook of Dialysis Therapy,1,1,100
Elsevier,Handbook of Herbs and Spices,1,1,100
Elsevier,Handbook of Hospitality Strategic Management,1,1,100
Elsevier,Handbook of Human Stress and Immunity,1,1,100
Elsevier,Handbook of Hygiene Control in the Food Industry,1,1,100
Elsevier,Handbook of Liver Disease,1,1,100
Elsevier,Handbook of Milk Composition,1,1,100
Elsevier,Handbook of Nanomaterials in Analytical Chemistry,1,1,100
Elsevier,Handbook of Polymer Applications in Medicine and Medical Devices,1,1,100
Elsevier,Handbook of Short Selling,1,1,100
Elsevier,Handbook of Stem Cells,1,1,100
Elsevier,Handbook of Vertebrate Immunology,1,1,100
Elsevier,Handbook of Veterinary Neurology,1,1,100
Elsevier,Haschek and Rousseaux's Handbook of Toxicologic Pathology,1,1,100
Elsevier,"Hazards, Risks and Disasters in Society",1,1,100
Elsevier,"Head, Neck, and Orofacial Infections",1,1,100
Elsevier,Health and Performance,1,1,100
Elsevier,Health Care and Environmental Contamination,1,1,100
Elsevier,Health Industrialization,1,1,100
Elsevier,Health Information Exchange,1,1,100
Elsevier,Health of HIV Infected People,1,1,100
Elsevier,Healthcare Technology Management Systems,1,1,100
Elsevier,Heart and Toxins,1,1,100
Elsevier,Hedge Fund Governance,1,1,100
Elsevier,Helicases from All Domains of Life,1,1,100
Elsevier,Hematology,1,1,100
Elsevier,Heterogeneous Nanocomposite-Photocatalysis for Water Purification,1,1,100
Elsevier,High-Risk Pollutants in Wastewater,1,1,100
Elsevier,Histone Modifications in Therapy,1,1,100
Elsevier,HIV and the New Viruses,1,1,100
Elsevier,Hospital and Healthcare Security,1,1,100
Elsevier,Human and Related Viruses,1,1,100
Elsevier,"Human Herpesviruses HHV-6A, HHV-6B & HHV-7",1,1,100
Elsevier,"Human Physiology, Biochemistry and Basic Medicine",1,1,100
Elsevier,Human Vaccines,1,1,100
Elsevier,Hygienic Design of Food Factories,1,1,100
Elsevier,"Idiotypes in Medicine: Autoimmunity, Infection and Cancer",1,1,100
Elsevier,Imagerie en réanimation,1,1,100
Elsevier,Imagerie Thoracique,1,1,100
Elsevier,Imaging in Neurology,1,1,100
Elsevier,Immigrant Medicine,1,1,100
Elsevier,Immune Function in Sport and Exercise,1,1,100
Elsevier,Immunologic Concepts in Transfusion Medicine,1,1,100
Elsevier,Immunology Guidebook,1,1,100
Elsevier,Improving Seafood Products for the Consumer,1,1,100
Elsevier,Industrial and Municipal Sludge,1,1,100
Elsevier,Infections néonatales,1,1,100
Elsevier,Infektionen in Gynäkologie und Geburtshilfe,1,1,100
Elsevier,Influenza,1,1,100
Elsevier,Information Cosmopolitics,1,1,100
Elsevier,Innovation in Health Informatics,1,1,100
Elsevier,Innovative Approaches in Drug Discovery,1,1,100
Elsevier,Innovative Food Processing Technologies,1,1,100
Elsevier,Innovative Technologies for Food Preservation,1,1,100
Elsevier,Inoculating Cities,1,1,100
Elsevier,Insect Biochem Mol Biol,1,1,100
Elsevier,Int Congr Ser,13,1,7.7
Elsevier,Int Emerg Nurs,14,1,7.1
Elsevier,Int J Gynaecol Obstet,2,1,50
Elsevier,Int J Nurs Stud Adv,13,1,7.7
Elsevier,Int J Pharm,23,1,4.3
Elsevier,Int Rev Cell Mol Biol,11,1,9.1
Elsevier,Integr Med Res,50,1,2
Elsevier,Integrative Medicine for Children,1,1,100
Elsevier,Intensive Crit Care Nurs,54,1,1.9
Elsevier,International Encyclopedia of Housing and Home,1,1,100
Elsevier,Internistische Therapie,1,1,100
Elsevier,Interstitial Lung Disease,1,1,100
Elsevier,Intestino grueso y delgado. Los Requisitos en Gastroenterología,1,1,100
Elsevier,Introduction to Biomedical Engineering,1,1,100
Elsevier,Introduction to Homeland Security,1,1,100
Elsevier,Introduction to Security,1,1,100
Elsevier,Introductory Immunology,1,1,100
Elsevier,J Acupunct Meridian Stud,1,1,100
Elsevier,J Adolesc Health Care,1,1,100
Elsevier,J Aerosol Sci,42,1,2.4
Elsevier,J Asian Econ,5,1,20
Elsevier,J Behav Exp Econ,1,1,100
Elsevier,J Biol Stand,4,1,25
Elsevier,J Biomed Inform,55,1,1.8
Elsevier,J Biosci Bioeng,5,1,20
Elsevier,J Clin Anesth,102,1,1
Elsevier,J Clin Neurosci,66,1,1.5
Elsevier,J Comput Sci,5,1,20
Elsevier,J Craniomaxillofac Surg,5,1,20
Elsevier,J Electrocardiol,22,1,4.5
Elsevier,J Environ Sci (China),15,1,6.7
Elsevier,J Epidemiol Glob Health,12,1,8.3
Elsevier,J Food Drug Anal,3,1,33.3
Elsevier,J Hist Geogr,2,1,50
Elsevier,J Interprof Educ Pract,6,1,16.7
Elsevier,J Mol Graph Model,44,1,2.3
Elsevier,J Pediatr Adolesc Gynecol,14,1,7.1
Elsevier,J Pediatr Nurs,30,1,3.3
Elsevier,J Pharmacol Sci,11,1,9.1
Elsevier,J Prof Nurs,21,1,4.8
Elsevier,J Prosthet Dent,6,1,16.7
Elsevier,J Sci Med Sport,14,1,7.1
Elsevier,J Sport Health Sci,20,1,5
Elsevier,J Stroke Cerebrovasc Dis,131,1,0.8
Elsevier,J Subst Abuse Treat,70,1,1.4
Elsevier,J Surg Educ,47,1,2.1
Elsevier,J Therm Biol,3,1,33.3
Elsevier,J Vet Behav,5,1,20
Elsevier,J Virus Erad,18,1,5.6
Elsevier,J Visc Surg,23,1,4.3
Elsevier,JACC Cardiovasc Interv,21,1,4.8
Elsevier,JACC Clin Electrophysiol,16,1,6.2
Elsevier,Japanese Kampo Medicines for the Treatment of Common Diseases: Focus on Inflammation,1,1,100
Elsevier,Joint Bone Spine,32,1,3.1
Elsevier,Jones's Animal Nursing,1,1,100
Elsevier,Jt Comm J Qual Patient Saf,26,1,3.8
Elsevier,Kelley's Textbook of Rheumatology,1,1,100
Elsevier,Kelley and Firestein's Textbook of Rheumatology,1,1,100
Elsevier,Klinikleitfaden Anästhesie,1,1,100
Elsevier,Klinikleitfaden Pädiatrie,1,1,100
Elsevier,Klinische Notfallmedizin,1,1,100
Elsevier,Klinische Radiologie,1,1,100
Elsevier,Knee,3,1,33.3
Elsevier,Knobil and Neill's Physiology of Reproduction,1,1,100
Elsevier,Laboratory Methods in Dynamic Electroanalysis,1,1,100
Elsevier,Lancet Gastroenterol Hepatol,99,1,1
Elsevier,Lancet Planet Health,58,1,1.7
Elsevier,Lancet Reg Health Eur,110,1,0.9
Elsevier,Lancet Respir Med,391,1,0.3
Elsevier,Lanzkowsky's Manual of Pediatric Hematology and Oncology,1,1,100
Elsevier,Lawrie´s Meat Science,1,1,100
Elsevier,Le tout en un révisions IFSI,1,1,100
Elsevier,Lectins,1,1,100
Elsevier,"LEED Practices, Certification, and Accreditation Handbook",1,1,100
Elsevier,"LEED v4 Practices, Certification, and Accreditation Handbook",1,1,100
Elsevier,Lehrbuch Kinder- und Jugendmedizin,1,1,100
Elsevier,Logic and Critical Thinking in the Biomedical Sciences,1,1,100
Elsevier,Logistics Transportation Systems,1,1,100
Elsevier,Low-Cost Carriers in Emerging Countries,1,1,100
Elsevier,Machine Learning in Bio-Signal Analysis and Diagnostic Imaging,1,1,100
Elsevier,MacSween's Pathology of the Liver,1,1,100
Elsevier,Maintaining Cultures for Biotechnology and Industry,1,1,100
Elsevier,Making Safe Food,1,1,100
Elsevier,Management of Emerging Public Health Issues and Risks,1,1,100
Elsevier,Manual of Equine Gastroenterology,1,1,100
Elsevier,Manual of Pediatric Hematology and Oncology,1,1,100
Elsevier,Mar Environ Res,1,1,100
Elsevier,Mar Pollut Bull,21,1,4.8
Elsevier,Marche Nordique et Santé,1,1,100
Elsevier,Marine Mammal Ecotoxicology,1,1,100
Elsevier,"Marketing Destinations and Venues for Conferences, Conventions and Business Events",1,1,100
Elsevier,Materials for Biomedical Engineering,1,1,100
Elsevier,Math Biosci,50,1,2
Elsevier,Matthews' Plant Virology,1,1,100
Elsevier,Measuring Immunity,1,1,100
Elsevier,Med Hypotheses,507,1,0.2
Elsevier,Médecine des Voyages et Tropicale,1,1,100
Elsevier,Médecine des voyages Médecine tropicale,1,1,100
Elsevier,Médecine interne de Netter,1,1,100
Elsevier,Medical and Health Genomics,1,1,100
Elsevier,Medical Applications of Mass Spectrometry,1,1,100
Elsevier,Medical Epigenetics,1,1,100
Elsevier,Medicina integrativa,1,1,100
Elsevier,Medicina interna. Secretos,1,1,100
Elsevier,Medicinal Plants,1,1,100
Elsevier,Medicinal Plants of South Asia,1,1,100
Elsevier,Medicine (Abingdon),45,1,2.2
Elsevier,Méga Guide STAGES IFSI,1,1,100
Elsevier,Mémo-guide de biologie et de physiologie humaines,1,1,100
Elsevier,Methods of Animal Experimentation,1,1,100
Elsevier,Meyler's Side Effects of Drugs,1,1,100
Elsevier,Micro- and Nanoengineering of the Cell Surface,1,1,100
Elsevier,Microbial Biotechnology in Food and Health,1,1,100
Elsevier,Microbial Metabolism and Disease,1,1,100
Elsevier,Microbiology and Molecular Diagnosis in Pathology,1,1,100
Elsevier,Microelectronics,1,1,100
Elsevier,Micron,6,1,16.7
Elsevier,Middleton's Allergy,1,1,100
Elsevier,Modern Applications of Cycloaddition Chemistry,1,1,100
Elsevier,Modern Applications of Plant Biotechnology in Pharmaceutical Sciences,1,1,100
Elsevier,Modern Information Processing,1,1,100
Elsevier,Mol Aspects Med,15,1,6.7
Elsevier,Mol Phylogenet Evol,7,1,14.3
Elsevier,Molecular Methods for Virus Detection,1,1,100
Elsevier,"Molecular, Genetic, and Nutritional Aspects of Major and Trace Minerals",1,1,100
Elsevier,Monoclonal Antibodies Against Bacteria,1,1,100
Elsevier,"Monomers, Polymers and Composites from Renewable Resources",1,1,100
Elsevier,Multifunctional Hybrid Nanomaterials for Sustainable Agri-Food and Ecosystems,1,1,100
Elsevier,"Multifunctional Systems for Combined Delivery, Biosensing and Diagnostics",1,1,100
Elsevier,Multiple Sclerosis,1,1,100
Elsevier,Multiple Sclerosis As A Neuronal Disease,1,1,100
Elsevier,Municipal Wastewater in Agriculture,1,1,100
Elsevier,Muscle and Exercise Physiology,1,1,100
Elsevier,Nanobiomaterials in Medical Imaging,1,1,100
Elsevier,Nanobiosensors,1,1,100
Elsevier,Nanomaterials for Biosensors,1,1,100
Elsevier,Nanomedicine,14,1,7.1
Elsevier,Nanoparticles in Pharmacotherapy,1,1,100
Elsevier,Nanoparticulate Drug Delivery,1,1,100
Elsevier,Nanopharmaceuticals,1,1,100
Elsevier,Nanostructured Photocatalysts,1,1,100
Elsevier,Nanostructures for Antimicrobial Therapy,1,1,100
Elsevier,Nanostructures for Drug Delivery,1,1,100
Elsevier,Nanotechnologies in Preventive and Regenerative Medicine,1,1,100
Elsevier,Nanotechnology Based Approaches for Tuberculosis Treatment,1,1,100
Elsevier,Natural Antimicrobials for the Minimal Processing of Foods,1,1,100
Elsevier,Natural Hosts of SIV,1,1,100
Elsevier,Neonatal Dermatology,1,1,100
Elsevier,Nephrology and Fluid/Electrolyte Physiology: Neonatology Questions and Controversies,1,1,100
Elsevier,Nephrology Secrets,1,1,100
Elsevier,Neurocirugia (Astur),4,1,25
Elsevier,Neuroinflammation,1,1,100
Elsevier,Neurology and General Medicine,1,1,100
Elsevier,Neurosci Res,3,1,33.3
Elsevier,New Look to Phytomedicine,1,1,100
Elsevier,New Technologies in Aquaculture,1,1,100
Elsevier,"Nonclinical Development of Novel Biologics, Biosimilars, Vaccines and Specialty Biologics",1,1,100
Elsevier,Nonsegmented Negative Strand Viruses,1,1,100
Elsevier,"Novel Approaches and Strategies for Biologics, Vaccines and Cancer Therapies",1,1,100
Elsevier,"Noyes' Knee Disorders: Surgery, Rehabilitation, Clinical Outcomes",1,1,100
Elsevier,Nucl Med Biol,2,1,50
Elsevier,Nutraceuticals in Brain Health and Beyond,1,1,100
Elsevier,Ocean Coast Manag,10,1,10
Elsevier,Office Practice of Neurology,1,1,100
Elsevier,Olympic Tourism,1,1,100
Elsevier,Online Information Services in the Social Sciences,1,1,100
Elsevier,Online Security for the Business Traveler,1,1,100
Elsevier,Ophthalmic Drugs,1,1,100
Elsevier,Ophthalmology,54,1,1.9
Elsevier,Optical Biosensors,1,1,100
Elsevier,Organisations and the Business Environment,1,1,100
Elsevier,Organising Knowledge,1,1,100
Elsevier,Orofacial Pain and Headache,1,1,100
Elsevier,Ostéopathie pédiatrique,1,1,100
Elsevier,Parasitic Protozoa,1,1,100
Elsevier,Parasitoid Viruses,1,1,100
Elsevier,Participatory Health Through Social Media,1,1,100
Elsevier,Pathobiology of Cell Membranes,1,1,100
Elsevier,Pathology and Pathogenesis of Human Viral Disease,1,1,100
Elsevier,Pathology Illustrated,1,1,100
Elsevier,Pediatric Acupuncture,1,1,100
Elsevier,Pediatric Otolaryngology,1,1,100
Elsevier,Pediatric Transplant and Oncology Infectious Diseases,1,1,100
Elsevier,Pédiatrie,1,1,100
Elsevier,Perioperative Medicine,1,1,100
Elsevier,"Pesticide, Veterinary and Other Residues in Food",1,1,100
Elsevier,Peter's Atlas of Tropical Medicine and Parasitology,1,1,100
Elsevier,Petit Manuel de Survie en Medecine Intensive-Reanimation : 80 Procedures en Poche,1,1,100
Elsevier,Pharmacie Clinique et Thérapeutique,1,1,100
Elsevier,Pharmacognosy,1,1,100
Elsevier,Pharmacol Ther,50,1,2
Elsevier,Photodiagnosis Photodyn Ther,43,1,2.3
Elsevier,Phys Med,9,1,11.1
Elsevier,Phytomedicine,53,1,1.9
Elsevier,Planning and Designing Research Animal Facilities,1,1,100
Elsevier,Plant Sci,1,1,100
Elsevier,Plant Virology,1,1,100
Elsevier,Podiatric Assessment and Management of the Diabetic Foot,1,1,100
Elsevier,Polit Geogr,10,1,10
Elsevier,Polymyositis and Dermatomyositis,1,1,100
Elsevier,"Practical Airport Operations, Safety, and Emergency Management",1,1,100
Elsevier,Practical Animal Husbandry,1,1,100
Elsevier,Practical Guidelines in Antiviral Therapy,1,1,100
Elsevier,Practice of Geriatrics,1,1,100
Elsevier,Pragmatic Randomized Clinical Trials,1,1,100
Elsevier,Praktische Gastroenterologie,1,1,100
Elsevier,Praxishandbuch der Pädiatrischen Grundversorgung,1,1,100
Elsevier,Prim Care Respir J,3,1,33.3
Elsevier,Primer of Diagnostic Imaging,1,1,100
Elsevier,Primrose Mcconnell's the Agricultural Notebook,1,1,100
Elsevier,Principles and Applications of Molecular Diagnostics,1,1,100
Elsevier,Principles of Animal Research for Graduate and Undergraduate Students,1,1,100
Elsevier,Principles of Cloning,1,1,100
Elsevier,Proc Geol Assoc,2,1,50
Elsevier,Procedia CIRP,7,1,14.3
Elsevier,Procedia Manuf,1,1,100
Elsevier,Producing Safe Eggs,1,1,100
Elsevier,Profile of the International Membrane Industry,1,1,100
Elsevier,Prog Brain Res,7,1,14.3
Elsevier,Prog Med Chem,2,1,50
Elsevier,Prog Mol Biol Transl Sci,16,1,6.2
Elsevier,Prog Nucl Magn Reson Spectrosc,1,1,100
Elsevier,Prog Pediatr Cardiol,18,1,5.6
Elsevier,Progress in Immunology,1,1,100
Elsevier,Protein Byproducts,1,1,100
Elsevier,Protein Targeting,1,1,100
Elsevier,Psychoneuroimmunology,1,1,100
Elsevier,Pulp and Paper Industry,1,1,100
